TIME,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019
GEO (Labels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union - 27 countries (from 2020),"420,635.67",,"422,294.44",,"420,828.07",,"418,677.38",,"417,110.54",,"413,099.43",,"411,193.16",,"403,578.61",,"398,862.51",,"397,882.75",,"392,805.04",,"389,554.82",,"393,290.86",,"389,999.39",,"385,200.74",,"380,960.51",,"379,956.39",,"379,931.84",,"382,963.53",,"388,705.75",,"390,318.89",,"391,361.43",,"394,033.28",,"390,089.16",,"385,786.96"
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,"468,756.24",,"471,260.77",,"469,112.86",,"467,171",,"465,627.98",,"459,491.77",,"455,243.39",,"447,435.93",,"443,611.42",,"442,672.41",,"437,456.3",,"433,154.85",,"436,477.27",,"432,122.9",,"427,033.14",,"423,083.31",,"422,095.48",,"421,740.52",,"424,418.17",,"431,873.42",,"432,983.71",,"433,811.23",,"436,945.02",,"432,410.96",,"428,537.31"
European Union - 28 countries (2013-2020),"467,691.62",,"470,200.76",,"468,048.41",,"466,086.73",,"464,537.34",,"458,435.05",,"454,198.74",,"446,423.25",,"442,651.31",,"441,717.8",,"436,505.36",,"432,161.5",,"435,461.2",,"431,105.75",,"426,044.45",,"422,116.49",,"421,130.88",,"420,783.63",,"423,470.03",,"430,875.82",,"432,006.72",,"432,829.39",,"435,960.82",,"431,462.42",,"427,601.91"
Belgium,"11,635.46",,"11,553.3",,"11,557.33",,"11,348.13",,"11,543.25",,"10,714.25",,"10,496.53",,"10,384.82",,"10,020.19",,"9,960.87",,"9,759.92",,"9,530.37",,"9,646.12",,"9,500.07",,"9,614.25",,"9,570.26",,"9,495.67",,"9,410.14",,"9,424.57",,"9,572.49",,"9,567.24",,"9,424.98",,"9,516.97",,"9,378.09",,"9,369.72"
Bulgaria,"5,759.75",,"5,464.63",,"5,505.96",,"4,963.01",,"5,295.66",,"5,026.36",,"4,833.22",,"4,980.5",,"4,877.14",,"5,328.12",,"5,010.47",,"4,896.9",,"4,741.3",,"4,991.86",,"4,822.17",,"5,303.8",,"4,955.66",,"5,086.29",,"5,574.34",,"6,040.3",,"6,089.34",,"6,438.02",,"6,408.97",,"6,259.97",,"6,249.25"
Czechia,"9,479.75",,"9,173.87",,"8,801.4",,"8,450.06",,"8,484.06",,"8,642.65",,"8,984.65",,"8,642.84",,"8,000.77",,"8,379.58",,"8,251.15",,"8,218.49",,"8,462.58",,"8,531.51",,"7,663.92",,"7,557.92",,"8,206.84",,"8,115",,"8,086.37",,"8,159.29",,"8,741.21",,"8,781.53",,"8,726.13",,"8,490.15",,"8,198.66"
Denmark,"12,463.86",,"12,055.91",,"12,056.7",,"12,039.57",,"11,664.81",,"11,601.14",,"11,609.62",,"11,646.18",,"11,416.59",,"11,375.64",,"11,194.89",,"10,899.4",,"11,121.97",,"11,107.89",,"10,900.56",,"10,825.02",,"10,807.08",,"10,810",,"10,800.52",,"10,900.75",,"10,793.63",,"10,956.65",,"11,039.01",,"10,881.36",,"10,897.64"
Germany (until 1990 former territory of the FRG),"65,996.35",,"66,631.12",,"65,804.94",,"66,317.6",,"66,699.56",,"66,078.4",,"66,818.39",,"64,459.97",,"63,800.61",,"63,374.16",,"63,319.2",,"62,039.86",,"62,691.1",,"63,076.39",,"63,572.13",,"63,162.2",,"63,304.95",,"64,147.58",,"64,914.68",,"66,448.48",,"66,075.15",,"65,581.86",,"64,684.91",,"62,487.32",,"61,838.92"
Estonia,"1,373.8",,"1,271.84",,"1,281.39",,"1,304.12",,"1,132.41",,"1,131.67",,"1,143.53",,"1,083.37",,"1,132.63",,"1,174.44",,"1,178.7",,"1,177.52",,"1,228.63",,"1,287.26",,"1,228.43",,"1,255.76",,"1,276.42",,"1,357.41",,"1,389.43",,"1,435.23",,"1,433.83",,"1,386.94",,"1,431.02",,"1,420.49",,"1,496.87"
