Indicator Type,Indicator Category,Indicator Name,Sub-indicator Name,Sub-indicator Parameter,Sub-indicator Unit,Indicator Code,Member State Code,Member State Name,Time Period,Data,Flag
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,AT,Austria,2018,691113307,
Output_Pillar I,Direct payments,OID_01 Basic Payment Scheme (BPS),Expenditure Basic Payment Scheme,Total,euro,OID_01_3,AT,Austria,2018,451632963.24,
Output_Pillar I,Direct payments,OID_05 Greening,Expenditure greening,Total,euro,OID_05_4,AT,Austria,2018,200915965.27,
Output_Pillar I,Direct payments,OID_12 Payment for young farmers,Expenditure young farmers,Total,euro,OID_12_3,AT,Austria,2018,13460780.3,
Output_Pillar I,Direct payments,"OID_13 Small farmers' scheme",Expenditure small farmers,Total,euro,OID_13_3,AT,Austria,2018,6499798.19,
Output_Pillar I,Direct payments,OID_14 Voluntary coupled support,Expenditure voluntary coupled support,Total,euro,OID_14_5,AT,Austria,2018,11322818.5,
Output_Pillar I,Market measures,OIM_00 Market Expenditure,Market measures,Total,euro,OIM_00_3,AT,Austria,2018,24467268,
Output_Pillar I,Market measures,OIM_00 Market Expenditure,Market measures,Wine,euro,OIM_00_3b,AT,Austria,2018,12196346,
Output_Pillar I,Market measures,OIM_00 Market Expenditure,Market measures,Promotion activities,euro,OIM_00_3d,AT,Austria,2018,1321419,
Output_Pillar I,Market measures,OIM_00 Market Expenditure,Market measures,Fruit and Vegetables,euro,OIM_00_3f,AT,Austria,2018,6782535,
Output_Pillar I,Market measures,OIM_00 Market Expenditure,Market measures,School schemes (fruit and milk),euro,OIM_00_3g,AT,Austria,2018,3296700,
Output_Pillar I,Market measures,OIM_00 Market Expenditure,Market measures,Bee-keeping,euro,OIM_00_3h,AT,Austria,2018,870267,
Output_Pillar I,Market measures,OIM_00 Market Expenditure,Market measures,Other markets,euro,OIM_00_3i,AT,Austria,2018,1,
Output_Pillar II,Rural Development,OIR_00 Total Rural Development expenditure,total RD expenditure,total (EU funds),euro,OIR_00_2,AT,Austria,2018,530792469,
Output_Pillar II,Rural Development,OIR_01 Total public expenditure,total public expenditure under Priority 2,total (EU funds + National cofinancing),euro,OIR_01a_1.1,AT,Austria,2018,122677220.08,
Output_Pillar II,Rural Development,OIR_01 Total public expenditure,total public expenditure under Priority 3,total (EU funds + National cofinancing),euro,OIR_01a_1.2,AT,Austria,2018,80609984.99,
Output_Pillar II,Rural Development,OIR_01 Total public expenditure,total public expenditure under Priority  4,total (EU funds + National cofinancing),euro,OIR_01a_1.3,AT,Austria,2018,702673191.69,
Output_Pillar II,Rural Development,OIR_01 Total public expenditure,total public expenditure under Priority  5,total (EU funds + National cofinancing),euro,OIR_01a_1.4,AT,Austria,2018,19455608.04,
Output_Pillar II,Rural Development,OIR_01 Total public expenditure,total public expenditure under Priority 6,total (EU funds + National cofinancing),euro,OIR_01a_1.5,AT,Austria,2018,76373532.7,
Output_Pillar II,Rural Development,OIR_01 Total public expenditure,total EU  expenditure (P2-P6),EU funds,euro,OIR_01b_1,AT,Austria,2018,513118166.59,
Output_Pillar II,Rural Development,OIR_01 Total public expenditure,total EU expenditure under Priority 2,EU funds,euro,OIR_01b_1.1,AT,Austria,2018,61208175.98,
